ＮＯ,受注,ベース,材質,種別１,種別２,ＪＡＮ,表示,デザイン,すみ分け,付加,付加,産地,銘柄,ＫＧ,画像,詳細
85,1207116,565,小袋大,【食味王】,―,―,表示,デザイン,スポット中心,―,脱酸素剤,奈良県,ヒノヒカリ,2,https://www.dropbox.com/scl/fi/ciootjdqmnipdrn58xwzo/1207116A.jpg?rlkey=v7v2jxuv3g6v0t6eebyufbxbm&st=pamutell&dl=0,
86,1240055,594,小袋中,【食味王】,ＪＡ北越後,―,表示,デザイン,定番化,特栽米,ガイドライン,新潟県,コシヒカリ,1,https://www.dropbox.com/scl/fi/vkgie9gw3zs3m1vcwswx6/1240055A.jpg?rlkey=ba1ynzcvers1wegopy52f79r8&st=vl1lusp1&dl=0,
87,1240053,594,小袋中,【食味王】,ＪＡ北越後,―,表示,デザイン,定番化,特栽米,ガイドライン,新潟県,コシヒカリ,2,https://www.dropbox.com/scl/fi/sgcdlho3qmlnb3iruhl37/1240053A.jpg?rlkey=e85dwbkl8g9guhqq6gi1kvse1&st=7g2a9vlr&dl=0,
88,1090153,565,小袋大,【食味王】,ＪＡ北越後,―,表示,デザイン,終了,特栽米,―,新潟県,コシヒカリ,2,https://www.dropbox.com/scl/fi/flr01515jl3823pji2kfh/1090153A.jpg?rlkey=ugamftubmwms02lzkbxw3l6yv&st=990e4mfh&dl=0,
89,1028118,566,小袋小,【食味王】,ＪＡ北越後,―,―,ガイドライン,終了,特栽米,―,新潟県,コシヒカリ,―,https://www.dropbox.com/scl/fi/xn85thmal61qibv5wwm8o/1028118A.jpg?rlkey=j2pbxk3ati0u8124x8pl50lxz&st=yspb8jvw&dl=0,
90,1032951,594,小袋中,【食味王】,―,―,表示,デザイン,定番化,―,―,新潟県魚沼,コシヒカリ,1,https://www.dropbox.com/scl/fi/2q3fb2tl5aopqyv1svfju/1032951A.jpg?rlkey=fuzjbk2mgsid46cnvejxrgndq&st=u4ivmrop&dl=0,
91,1225009,594,小袋中,【食味王】,―,―,表示,デザイン,定番化,―,脱酸素剤,新潟県魚沼,コシヒカリ,1,https://www.dropbox.com/scl/fi/smgb7igwxr7uj1umkjz2z/1225009A.jpg?rlkey=nh16zdfazyqhogycbly4a5id4&st=wbqfy595&dl=0,
92,1024474,565,小袋大,【食味王】,―,ＪＡＮ,表示,デザイン,終了,―,産年なし,新潟県魚沼,コシヒカリ,2,https://www.dropbox.com/scl/fi/23cuzdwn30z80xm72in5p/1024474A.jpg?rlkey=glqrh2tus84fnubwyt4p6yfvv&st=beya4s3a&dl=0,
93,1086772,565,小袋大,【食味王】,―,―,表示,デザイン,定番化,―,産年なし,新潟県魚沼,コシヒカリ,2,https://www.dropbox.com/scl/fi/vvj80pgsujjrcpaqaulb8/1086772A.jpg?rlkey=a312lzgy96p5ktxz797q54zn0&st=0x3za182&dl=0,
94,1183949,565,小袋大,【食味王】,脱酸素剤入り,―,表示,デザイン,定番化,―,産年なし,新潟県魚沼,コシヒカリ,2,https://www.dropbox.com/scl/fi/264ivy976cr0k2pej29mb/1183949A.jpg?rlkey=mjzcehcwh1quj9bha0q7qugei&st=n2wjm5ur&dl=0,
95,1243716,565,小袋大,【食味王】,―,―,表示,デザイン,終了,―,2024年産,新潟県魚沼,コシヒカリ,2,https://www.dropbox.com/scl/fi/1auvee5ptefax41tyieza/1243716A.jpg?rlkey=bnvnar3a65089kzd5mvwllb6v&dl=0,
96,1154072,565,小袋大,【食味王】,プレミアモビリティ,―,表示,デザイン,終了,―,―,新潟県魚沼,コシヒカリ,2,https://www.dropbox.com/scl/fi/zrtk6d3uka1n7pinmvfy9/1154072A.jpg?rlkey=c1j4v47oorc2p632dpfb3ilqd&st=xocrimuy&dl=0,
97,1243895,565,小袋大,【食味王】,―,―,表示,デザイン,定番化,有機栽培米,―,新潟県魚沼,コシヒカリ,5,https://www.dropbox.com/scl/fi/rkb2ndl3iroikp0zihjg6/1243895A.jpg?rlkey=q7z46sgdpoy44dd5df7rnv1vs&st=3g7dbzzb&dl=0,
98,1037936,594,小袋中,【食味王】,―,―,表示,デザイン,スポット中心,棚田米,―,新潟県佐渡,コシヒカリ,1,https://www.dropbox.com/scl/fi/1r95dph6b84ojtowz3cqg/1037936A.jpg?rlkey=w1t2ven405qrfozskqn6ta5dr&st=qyp0mmry&dl=0,
99,1088273,565,小袋大,【食味王】,―,―,表示,デザイン,スポット中心,棚田米,―,新潟県佐渡,コシヒカリ,2,https://www.dropbox.com/scl/fi/wr5sk9cycowboemt9h2o0/1088273A.jpg?rlkey=22yjhwv1aduxaj8cl5537dm5i&st=493woss2&dl=0,
100,1239546,565,小袋大,【食味王】,朱鷺と暮らす郷,―,表示,デザイン,スポット中心,特栽米,脱酸素剤,新潟県佐渡,コシヒカリ,2,https://www.dropbox.com/scl/fi/k2yzqm5gjuvqhv14s63xz/1239546A.jpg?rlkey=6851r0nde7vzoijr91b3mgpdf&st=7a2470b9&dl=0,
101,1239547,565,小袋大,【食味王】,朱鷺と暮らす郷,―,―,ガイドライン,スポット中心,特栽米,脱酸素剤,新潟県佐渡,コシヒカリ,―,https://www.dropbox.com/scl/fi/y0m2hgiuuh5ojrh06raj7/1239547A.jpg?rlkey=yxz5zsb3iygir05gi4ed5aghe&st=4s8xxxfa&dl=0,
102,1216570,565,小袋大,【食味王】,―,―,表示,デザイン,終了,特栽米,―,兵庫県宍粟市,コシヒカリ,2,https://www.dropbox.com/scl/fi/v6rbvqmp2mwv0e7aq4oiw/1216570A.jpg?rlkey=68wg9ytkvamzj0rfoxxn2j634&st=unkqpv88&dl=0,
103,1216571,566,小袋小,【食味王】,―,―,―,ガイドライン,終了,特栽米,―,兵庫県宍粟市,コシヒカリ,―,https://www.dropbox.com/scl/fi/sgc6wioaqjd1nfckendhz/1216571A.jpg?rlkey=fufmsztw82blnd2myrb1c82e6&st=uloki9p4&dl=0,
104,1251284,594,小袋中,【食味王】,コウノトリ育む,―,表示,デザイン,,特栽米,脱酸素剤,兵庫県但馬,コシヒカリ,1,https://www.dropbox.com/scl/fi/9otxlbcikuh0wocfk7ggn/1251284A.jpg?rlkey=tcq4xyp6oku4dah059a25lao6&st=8ahmjdi8&dl=0,
105,1246063,594,小袋中,【食味王】,コウノトリ育む,―,表示,デザイン,定番化,特栽米,ガイドライン,兵庫県但馬,コシヒカリ,1,https://www.dropbox.com/scl/fi/rvf3x14cbuzij7nxeyfih/1246063A.jpg?rlkey=2d0zc51u4ldqgl3e7grvn9q3e&st=mznitg34&dl=0,
106,1034119,594,小袋中,【食味王】,コウノトリ育む,―,表示,デザイン,定番化,特栽米,―,兵庫県但馬,コシヒカリ,1,https://www.dropbox.com/scl/fi/cxe3ik56psh0jtruer7kr/1034119A.jpg?rlkey=lclubihk23stu40mtoo27oohc&st=zb8k0avq&dl=0,
107,1173852,565,小袋大,【食味王】,コウノトリ育む,―,表示,デザイン,定番化,特栽米,脱酸素剤,兵庫県但馬,コシヒカリ,2,https://www.dropbox.com/scl/fi/5ghj7q81wgeu3bt90adfy/1173852A.jpg?rlkey=4vguyb7rjjasvpy6jkmuo6ddq&st=sdsnm4ac&dl=0,
108,1034118,566,小袋小,【食味王】,―,―,―,ガイドライン,定番化,特栽米,―,兵庫県但馬,コシヒカリ,―,https://www.dropbox.com/scl/fi/2h5a4hmdqbsfoy7fw12mb/1034118A.jpg?rlkey=8zfbhahbsuf0m26rh8aeepuvh&st=xv8ziawb&dl=0,
109,1222502,565,小袋大,【食味王】,―,―,表示,デザイン,終了,省農薬米,―,福井県,あきさかり,2,https://www.dropbox.com/scl/fi/ukaxwg3hjlkwxk73fq7zg/1222502A.jpg?rlkey=qgsqjx4drq7y7grgnzhhwvov1&st=2u3jia9o&dl=0,
110,1167270,565,小袋大,【食味王】,―,―,表示,デザイン,定番化,―,―,福井県,いちほまれ,1,https://www.dropbox.com/scl/fi/owdz9ceswsxh2l7o02akc/1167270A.jpg?rlkey=kist1g5f762vpmhbx3p8yp0ja&st=wsk0ojpr&dl=0,25年5月迄
111,1227108,565,小袋大,【食味王】,―,―,表示,デザイン,定番化,―,脱酸素剤,福井県,いちほまれ,1,https://www.dropbox.com/scl/fi/rwynamg7nmm1ojuirzynd/1227108A.jpg?rlkey=a6erwdz4597pf8sya9nzu3580&st=iw32s8s9&dl=0,
112,1167279,565,小袋大,【食味王】,―,―,表示,デザイン,定番化,―,―,福井県,いちほまれ,2,https://www.dropbox.com/scl/fi/nmjjfucs2mwcmw12q6h8v/1167279A.jpg?rlkey=lh313929jc9f65n6zbikz72ly&st=51jawqdk&dl=0,
113,1188556,565,小袋大,【食味王】,―,ＪＡＮ,表示,デザイン,終了,―,―,福井県,いちほまれ,2,https://www.dropbox.com/scl/fi/bmcy0yvjg7ct4tr7rmlzk/1188556A.jpg?rlkey=xkr28xm0gcdfxkasyely8xh28&st=xuwk9g6e&dl=0,
114,1182220,565,小袋大,【食味王】,―,―,表示,デザイン,定番化,,脱酸素剤,福井県,いちほまれ,2,https://www.dropbox.com/scl/fi/zpvpjitm5ku5nx3l080od/1182220A.jpg?rlkey=w0k1r9ljxmvub75zitynweu5z&st=mgiizrvr&dl=0,
115,1112364,565,小袋大,【食味王】,―,―,表示,デザイン,スポット中心,特栽米,―,福井県,いちほまれ,2,https://www.dropbox.com/scl/fi/3qqdqk2mvryv3pny42ht3/1112364A.jpg?rlkey=jhey08lu75llwo4w2iy0yer3n&st=ik2a1b08&dl=0,
116,1127355,566,小袋小,【食味王】,―,―,―,ガイドライン,スポット中心,特栽米,―,福井県,いちほまれ,―,https://www.dropbox.com/scl/fi/ulmtds4xflrkti4mpggkg/1127355A.jpg?rlkey=lurqf985vsmz0h9unp0fon7t1&st=8ymab1lz&dl=0,
117,1037521,594,小袋中,【食味王】,ＪＡ越前たけふ,―,表示,デザイン,スポット中心,―,―,福井県,コシヒカリ,1,https://www.dropbox.com/scl/fi/h0zg9ur7ig6f862pvmkk4/1037521A.jpg?rlkey=flxsvkrxgmsaad6pzcov3xa15&st=6bp36ttj&dl=0,
118,1087921,565,小袋大,【食味王】,ＪＡ越前たけふ,―,表示,デザイン,スポット中心,―,―,福井県,コシヒカリ,2,https://www.dropbox.com/scl/fi/gpoz0cnzxb6wx35q2zzf9/1087921A.jpg?rlkey=yf6x0cz6cgq5wtifludb7ryr0&st=k2uj6lmj&dl=0,
119,1222500,565,小袋大,【食味王】,ＪＡ越前たけふ,―,表示,デザイン,スポット中心,特栽米,―,福井県,コシヒカリ,2,https://www.dropbox.com/scl/fi/yu1ofr1jco0ul9p0lvj8c/1222500A.jpg?rlkey=djrbi0o5oewabimprxtzonnlt&st=7b0a6cfz&dl=0,
120,1222501,565,小袋大,【食味王】,ＪＡ越前たけふ,―,―,ガイドライン,スポット中心,特栽米,―,福井県,コシヒカリ,―,https://www.dropbox.com/scl/fi/vlqdgq3w7e1hv9w81a8ar/1222501A.jpg?rlkey=vb0eko33autwnk9rq3cw7wy9x&st=yhuunrgg&dl=0,
121,1037933,594,小袋中,【食味王】,ＪＡ越前たけふ,―,表示,デザイン,スポット中心,―,―,福井県,日本晴,1,https://www.dropbox.com/scl/fi/iosvdeciblhfy5wtuubqg/1037933A.jpg?rlkey=i7or0cb8gk683iwgsmaeci089&st=xzl3bf3g&dl=0,
122,1109296,565,小袋大,【食味王】,ＪＡ越前たけふ,―,表示,デザイン,スポット中心,―,―,福井県,日本晴,2,https://www.dropbox.com/scl/fi/e054djuhzsvb2cq8ziqsq/1109296A.jpg?rlkey=8col10mpjphpohsmvicwjem69&st=9tvva3ag&dl=0,
123,1175838,565,小袋大,【食味王】,―,―,表示,デザイン,スポット中心,―,―,福井県,ハナエチゼン,2,https://www.dropbox.com/scl/fi/f6k9lzxaiaq99gxps6y9f/1175838A.jpg?rlkey=ee2d4oa96qfqlzwq62adyxr3f&st=xupcmj9c&dl=0,
124,1230813,565,小袋大,【食味王】,―,―,表示,デザイン,スポット中心,―,新米,福井県,ハナエチゼン,2,https://www.dropbox.com/scl/fi/m3z52p0jnr8rnvx3dlh78/1230813A.jpg?rlkey=fu9gl44jxd03aru6lj5hvwguf&st=l5oyfzy1&dl=0,25年5月迄
125,1243460,565,小袋大,【食味王】,―,―,表示,デザイン,スポット中心,―,―,福岡県,夢つくし,2,https://www.dropbox.com/scl/fi/c3eiw7y6mcaf22rdpycwp/1243460A.jpg?rlkey=0gmsk7kikjzmynqui5mcahoyw&st=48xxd561&dl=0,
126,1032949,594,小袋中,【食味王】,―,―,表示,デザイン,定番化,―,―,北海道,ななつぼし,1,https://www.dropbox.com/scl/fi/1rxkgkf5bnj0wsxrud02q/1032949A.jpg?rlkey=11jnwdujyix4iy73p0ad04fdf&st=4pvuqxn5&dl=0,
127,1025062,565,小袋大,【食味王】,―,ＪＡＮ,表示,デザイン,終了,―,―,北海道,ななつぼし,2,https://www.dropbox.com/scl/fi/cdqwpv78gzpo3y4h91sju/1025062A.jpg?rlkey=7ihc8hxnuaramgkdvt92g1z4f&st=96f6hmrs&dl=0,
128,1087919,565,小袋大,【食味王】,―,―,表示,デザイン,定番化,―,―,北海道,ななつぼし,2,https://www.dropbox.com/scl/fi/znbbswpo9qw9qbpqr6uf9/1087919A.jpg?rlkey=2fpap98zn4fs4hirgket4xmlz&st=kpyx31eg&dl=0,
129,1220586,565,小袋大,【食味王】,―,―,表示,デザイン,定番化,―,脱酸素剤,北海道,ななつぼし,2,https://www.dropbox.com/scl/fi/g831f0oe7z4dfo4sjwcvg/1220586A.jpg?rlkey=pu2f32sz9s33aaw3ga1nm296w&st=o356bf30&dl=0,
130,1206752,594,小袋中,【食味王】,―,―,表示,デザイン,定番化,―,脱酸素剤,北海道,ゆめぴりか,1,https://www.dropbox.com/scl/fi/gf5hh92kcfcvaoefn0fxv/1206752A.jpg?rlkey=kdlf3wm59tfxfv42hom9mc7fo&st=l0t0frox&dl=0,
131,1028246,594,小袋中,【食味王】,―,―,表示,デザイン,定番化,―,―,北海道,ゆめぴりか,1,https://www.dropbox.com/scl/fi/m8m5lchxg5s8fzt6t2vqc/1028246A.jpg?rlkey=3jimygo0yjmxobv2yf2inuab3&st=snbk8kn3&dl=0,
132,1033117,594,小袋中,【食味王】,金賞健康米,―,表示,デザイン,定番化,―,―,北海道,ゆめぴりか,1,https://www.dropbox.com/scl/fi/xcwa9831arnumrw1q4u66/1033117A.jpg?rlkey=6n0j20cxno8xrioikiesrndsj&st=4pbfbiqg&dl=0,
133,1086773,565,小袋大,【食味王】,金賞健康米,―,表示,デザイン,定番化,―,―,北海道,ゆめぴりか,2,https://www.dropbox.com/scl/fi/d6ukj4x82mcu6x0frv01j/1086773A.jpg?rlkey=wpka68680morlwx5ubv8pwquy&st=vhu8m9y8&dl=0,
134,1183944,565,小袋大,【食味王】,脱酸素剤入り,―,表示,デザイン,定番化,―,脱酸素剤,北海道,ゆめぴりか,2,https://www.dropbox.com/scl/fi/61bn7r5p2hvwcrny9xbk1/1183944A.jpg?rlkey=0ayi4zpuah0wj9ok4m3prnreh&st=9inat6kk&dl=0,
135,1024473,565,小袋大,【食味王】,―,ＪＡＮ,表示,デザイン,終了,―,産年なし,北海道,ゆめぴりか,2,https://www.dropbox.com/scl/fi/47ujcm7tn0n47iru7ab35/1024473A.jpg?rlkey=n1hc5nb2l4wasujj0ka9ym943&st=x1t4au8a&dl=0,
136,1029609,565,小袋大,【食味王】,―,―,表示,デザイン,定番化,―,―,北海道,ゆめぴりか,2,https://www.dropbox.com/scl/fi/k3rp5g1rzraid2lqnbjxf/1029609A.jpg?rlkey=xdhavapt3uavyv6a1bmn2otuo&st=9xbgm64h&dl=0,
137,1243714,565,小袋大,【食味王】,―,―,表示,デザイン,終了,―,2024年産,北海道,ゆめぴりか,2,https://www.dropbox.com/scl/fi/qk8ngfjk6opet250qyrqh/1243714A.jpg?rlkey=6739q60x5jt6ljgkgpau2uajm&dl=0,
138,1165438,565,小袋大,【食味王】,雪室貯蔵米,―,表示,デザイン,スポット中心,特栽米,―,北海道,ゆめぴりか,2,https://www.dropbox.com/scl/fi/f8ub3o9pi1bxtydwk4d5u/1165438A.jpg?rlkey=wwkoc2fipcsu8z6qk0tvbov7i&st=06uuqg77&dl=0,
139,1212143,565,小袋大,【食味王】,新すなかわ農協,―,表示,デザイン,スポット中心,特栽米,―,北海道,ゆめぴりか,2,https://www.dropbox.com/scl/fi/6lksnygcvdm76iivlkb01/1212143A.jpg?rlkey=qld2gp4n1zxwhut2zzdveajtb&st=e08mfjx7&dl=0,
140,1179002,565,小袋大,【食味王】,新すなかわ農協,―,表示,デザイン,終了,特栽米,―,北海道,ゆめぴりか,5,https://www.dropbox.com/scl/fi/ki1m511zdds1k2ue15zjf/1179002A.jpg?rlkey=i2r4he8eewcqc7ts29psdjwzk&st=fs2wlqwh&dl=0,
141,1159781,566,小袋小,【食味王】,,―,―,ガイドライン,スポット中心,特栽米,―,北海道,ゆめぴりか,―,https://www.dropbox.com/scl/fi/c2czhil73wkvbi4qen2ey/1159781A.jpg?rlkey=0j2n6anf9yng209e0ch7m76gu&st=dh529zgs&dl=0,
142,1028123,565,小袋大,【食味王】,―,ＪＡＮ,表示,デザイン,終了,―,―,三重県伊賀,コシヒカリ,2,https://www.dropbox.com/scl/fi/mfjplmmuwrl9y64esi7s3/1028123A.jpg?rlkey=mhfhfraf61sdtwotcepsmgmqf&st=cbgzm6oo&dl=0,
143,1088223,594,小袋中,【食味王】,（黄土色）,―,表示,デザイン,終了,玄米,―,宮城県,金のいぶき,1,https://www.dropbox.com/scl/fi/aog6nlsh8ujdomj5x0cji/1088223A.jpg?rlkey=jif3ba4s5sf4lg859p79feweb&st=6lof8chh&dl=0,
144,1122884,565,小袋大,【食味王】,（黄土色）,―,表示,デザイン,終了,玄米,―,宮城県,金のいぶき,2,https://www.dropbox.com/scl/fi/3k6qbanzzj717pkw35iv8/1122884A.jpg?rlkey=7hzvdejw41uevfngw3mq235j9&st=8ycix1mm&dl=0,
145,1037926,594,小袋中,【食味王】,―,―,表示,デザイン,終了,―,―,宮城県,ササニシキ,1,https://www.dropbox.com/scl/fi/ogn11erty3i85oz3q1jsw/1037926A.jpg?rlkey=0d1npr53fybsx83exvkuzqwds&st=f5b1e1k1&dl=0,
146,1040475,565,小袋大,【食味王】,―,ＪＡＮ,表示,デザイン,終了,―,―,宮城県,ササニシキ,2,https://www.dropbox.com/scl/fi/mtr4ossnshy6qmks6v9z6/1040475A.jpg?rlkey=fmumy4zfqw4ixmbnd6go8xh9g&st=3v8n6bfw&dl=0,
147,1025065,565,小袋大,【食味王】,―,―,表示,デザイン,終了,―,―,宮城県,ササニシキ,2,https://www.dropbox.com/scl/fi/uk0hnqwh29x9m4hvvmkxn/1025065A.jpg?rlkey=wkmwhjsh03lltsillx6z0reql&st=0u93ko4l&dl=0,
148,1149609,594,小袋中,【食味王】,―,―,表示,デザイン,スポット中心,―,―,宮城県,だて正夢,1,https://www.dropbox.com/scl/fi/6zrxq8njse4226vd8ju10/1149609A.jpg?rlkey=2v71h4ds5zdbl8gbcryxwbrhq&st=v7zz4v9y&dl=0,
149,1139843,594,小袋中,【食味王】,―,―,表示,デザイン,スポット中心,―,―,宮城県,だて正夢,2,https://www.dropbox.com/scl/fi/ce7yo1s026egmlodq7426/1139843A.jpg?rlkey=linsqg08vws75l1uk857si2yk&st=w6fo6bj9&dl=0,
150,1206754,594,小袋中,【食味王】,―,―,表示,デザイン,定番化,―,脱酸素剤,宮城県,ひとめぼれ,1,https://www.dropbox.com/scl/fi/4talnb87cdn66paaud0h0/1206754A.jpg?rlkey=2d0gki19i02akoc3gfrc5iq8u&st=pyyifmw1&dl=0,
151,1041251,594,小袋中,【食味王】,―,ＪＡＮ,表示,デザイン,終了,―,―,宮城県,ひとめぼれ,1,https://www.dropbox.com/scl/fi/qvi6rcjuv137c6bovyq2s/1041251A.jpg?rlkey=j77w1la33j74y5in83ntdw5f1&st=rdkj1ueq&dl=0,
152,1034120,594,小袋中,【食味王】,―,―,表示,デザイン,定番化,―,―,宮城県,ひとめぼれ,1,https://www.dropbox.com/scl/fi/d00h85ws520oecmdvzaks/1034120A.jpg?rlkey=vm6ji6uvu6q2xzcd2xkbo1bpc&st=plbzdoup&dl=0,
153,1027956,565,小袋大,【食味王】,―,ＪＡＮ,表示,デザイン,終了,―,産年なし,宮城県,ひとめぼれ,2,https://www.dropbox.com/scl/fi/to7iqw0keq3cbxehmb9og/1027956A.jpg?rlkey=3f7m1p1y8tg6tg2153aj8oj4i&st=wa1cg9gh&dl=0,
154,1029610,565,小袋大,【食味王】,―,―,表示,デザイン,定番化,―,産年なし,宮城県,ひとめぼれ,2,https://www.dropbox.com/scl/fi/npkoajjohfuwn9t42dpq7/1029610A.jpg?rlkey=mbuuhr1il11h15p680fldjywr&st=1dqmdaqc&dl=0,
155,1183947,565,小袋大,【食味王】,脱酸素剤入り,―,表示,デザイン,定番化,―,産年なし,宮城県,ひとめぼれ,2,https://www.dropbox.com/scl/fi/jy1rtutgychx0upvow7ba/1183947A.jpg?rlkey=bvqkzwxzlu21p0meo0wbbf5hx&st=rqju49nd&dl=0,
156,1243715,565,小袋大,【食味王】,―,―,表示,デザイン,終了,―,2024年産,宮城県,ひとめぼれ,2,https://www.dropbox.com/scl/fi/4z93kr4v0ep4zyviw7ans/1243715A.jpg?rlkey=0wn9ugxdqdborisbt7ktamq7s&dl=0,
157,1153996,565,小袋大,【食味王】,―,―,表示,デザイン,終了,―,―,宮城県,まなむすめ,2,https://www.dropbox.com/scl/fi/revx8bq49tay0h89kqvt0/1153996A.jpg?rlkey=kdy75opyp5wwji0glrwf8b4zk&st=htasy6ey&dl=0,
158,1028247,594,小袋中,【食味王】,―,―,表示,デザイン,定番化,―,―,山形県,つや姫,1,https://www.dropbox.com/scl/fi/6u4gdou3lz9jt6uubof69/1028247A.jpg?rlkey=taqbo62mcrmy77xyuxl0cfdzj&st=ye55xqoc&dl=0,
159,1225010,594,小袋中,【食味王】,―,―,表示,デザイン,定番化,―,脱酸素剤,山形県,つや姫,1,https://www.dropbox.com/scl/fi/910d8fttnh2gw82qsgg1g/1225010A.jpg?rlkey=6zcwgmxrahjmn83ebn5ype5ag&st=1t3ryazx&dl=0,
160,1025066,565,小袋大,【食味王】,―,ＪＡＮ,表示,デザイン,終了,―,―,山形県,つや姫,2,https://www.dropbox.com/scl/fi/ttt1bbm96gu4g5at81113/1025066A.jpg?rlkey=vkrbsl4n9ukmjqktbhju9dkyn&st=d2akcqr5&dl=0,
161,1037520,565,小袋大,【食味王】,―,―,表示,デザイン,定番化,―,―,山形県,つや姫,2,https://www.dropbox.com/scl/fi/huxdd6an4dhxwvgaph79d/1037520A.jpg?rlkey=4x803s7a5hjw93ifsfib009tr&st=dx4w97p6&dl=0,
162,1183946,565,小袋大,【食味王】,―,―,表示,デザイン,定番化,―,脱酸素剤,山形県,つや姫,2,https://www.dropbox.com/scl/fi/213136r4cboziyy21aeqa/1183946A.jpg?rlkey=jeyc4vevfh0bjgnxcsvovsws6&st=k33r512k&dl=0,
163,1179909,566,小袋小,【食味王】,―,―,―,ガイドライン,定番化,―,―,山形県,つや姫,―,https://www.dropbox.com/scl/fi/f2ctjxyembawloh2pdqzs/1179909A.jpg?rlkey=9behnhzffqyt86528kyx6fv4i&st=9m0iw3op&dl=0,
164,1037931,594,小袋中,【食味王】,―,―,表示,デザイン,終了,―,―,山形県,はえぬき,1,https://www.dropbox.com/scl/fi/p5q40qspgjrzq4mjpqi1f/1037931A.jpg?rlkey=qhmp29jhbgqjw2xeqkdhitiiw&st=nrb9l759&dl=0,
165,1087922,565,小袋大,【食味王】,―,―,表示,デザイン,終了,―,―,山形県,はえぬき,2,https://www.dropbox.com/scl/fi/eyrp2gtlnnoarqjiamc59/1087922A.jpg?rlkey=zsbjlkp83kqi1gmrr20pa1u91&st=uhp5ufj6&dl=0,
166,1053766,565,小袋大,【食味王】,―,ＪＡＮ,表示,デザイン,終了,―,―,山形県,ミルキークイーン,2,https://www.dropbox.com/scl/fi/zhwngym2gjzq5we63xid4/1053766A.jpg?rlkey=kcuhspdeefnvnexjqq8lriczs&st=qs91vlue&dl=0,
167,1048524,565,小袋大,【食味王】,―,―,表示,デザイン,終了,―,―,山形県,ミルキークイーン,2,https://www.dropbox.com/scl/fi/h9vndw8viv521i263i7k7/1048524A.jpg?rlkey=hl7sskty28mkioe91me6jyf6r&st=3rb3f1f3&dl=0,
168,1192709,565,小袋大,【食味王】,―,―,表示,デザイン,スポット中心,―,―,山形県,雪若丸,1,https://www.dropbox.com/scl/fi/mbkp790phhhz4e5ubk20b/1192709A.jpg?rlkey=9vp6jeb4m3xyl7uvto99ubr7t&st=2qb2nxkx&dl=0,
169,1167277,565,小袋大,【食味王】,―,―,表示,デザイン,スポット中心,―,―,山形県,雪若丸,2,https://www.dropbox.com/scl/fi/jes31091lw6fx7clj6wpn/1167277A.jpg?rlkey=ajcs79kuvwo6lbt2auo0slwtb&st=97patw8x&dl=0,
170,1204167,565,小袋大,【食味王】,―,―,表示,デザイン,スポット中心,―,―,山口県,コシヒカリ,1,https://www.dropbox.com/scl/fi/r7g06jppfw9eqgcaf8xcb/1204167A.jpg?rlkey=vo22ex53te6q1y4o2oq7mb9b3&st=a6ltkfay&dl=0,
1,1247513,565,小袋大,家紋シリーズ,,―,表示,デザイン,,―,―,愛知県,あいちのかおり,3,https://www.dropbox.com/scl/fi/gcubum2iqis8dwb923jx8/1247513A.jpg?rlkey=i7wg4jlbxnqjzuirdfe6um7r4&st=02k26zbh&dl=0,
2,1252614,565,小袋大,家紋シリーズ,,―,表示,デザイン,,―,―,青森県,青天の霹靂,2,https://www.dropbox.com/scl/fi/77lj9fy4zntzmvzbkfcbd/1252614A.jpg?rlkey=4vhwfk6lpd2fsbqzu27ix5grg&st=wmll8mdm&dl=0,
3,1228161,565,小袋大,家紋シリーズ,,―,―,デザイン,終了,―,オモテ,青森県,はれわたり,5,https://www.dropbox.com/scl/fi/cev3676ixcztbviqjp319/1228161A.jpg?rlkey=bpq99aco2hd9lpnbk7lubvlrt&st=gqpopjo9&dl=0,
4,1228163,566,小袋小,↑表示,,―,表示,―,終了,―,ウラ,青森県,はれわたり,5,https://www.dropbox.com/scl/fi/u8kqt62rbvzbmazfnwmm4/1228163A.jpg?rlkey=dc6nztncfwjofiulxbv1bqk1u&st=rthhyhpy&dl=0,
5,1145733,565,小袋大,家紋シリーズ,,―,―,デザイン,終了,―,オモテ,秋田県,あきたこまち,3,https://www.dropbox.com/scl/fi/qkntxrawtiqe907w9bhqd/1145733A.jpg?rlkey=q9mttqry029mb0cp55enm554u&st=3nm5yvs1&dl=0,
6,1145743,566,小袋小,↑表示,,―,表示,―,終了,―,ウラ,秋田県,あきたこまち,3,https://www.dropbox.com/scl/fi/lvqsly3mjcz0fhidv9yv7/1145743A.jpg?rlkey=qlbcwqrprlfxb1u3dgbeg4czz&st=034rbrmx&dl=0,
7,1040428,565,小袋大,家紋シリーズ,使用禁止,―,―,デザイン,定番化,―,オモテ,秋田県,あきたこまち,5,https://www.dropbox.com/scl/fi/ccpir5poetbyebe03695k/1040428A.jpg?rlkey=5z448dy22ebrn5bi2d9jv8g9c&st=bpm5zzgw&dl=0,
8,1040413,566,小袋小,↑表示,使用禁止,―,表示,―,終了,―,ウラ,秋田県,あきたこまち,5,https://www.dropbox.com/scl/fi/0bxy1d9q20ugf2xsucfpa/1040413A.jpg?rlkey=p84ey03ezm5yvn5gxkv34zz4i&st=z310qd4s&dl=0,
